Condition,Video,Type,Method,Recall,F1,FPR,Oscillation,Qwen_Rate,FPS
Clean,RWL_VID_00007.mp4,compliance,A_Baseline,,,0,0.00,0.00,90.7
Clean,RWL_VID_00007.mp4,compliance,B_LazyQwen,,,0,0.00,0.76,93.2
Clean,RWL_VID_00007.mp4,compliance,C_UATS,,,0,0.00,0.64,85.7
Clean,RWL_VID_00007.mp4,compliance,D_FullSystem,,,0,0.00,0.50,73.8
Clean,RWL_VID_00008.mp4,compliance,A_Baseline,,,0,0.00,0.00,31.0
Clean,RWL_VID_00008.mp4,compliance,B_LazyQwen,,,0.002564102564102564,0.04,3.08,31.6
Clean,RWL_VID_00008.mp4,compliance,C_UATS,,,0.005128205128205128,0.03,2.05,31.9
Clean,RWL_VID_00008.mp4,compliance,D_FullSystem,,,0,0.02,1.88,30.7
Clean,RWL_VID_00009.mp4,compliance,A_Baseline,,,0.09571428571428571,2.57,0.00,107.2
Clean,RWL_VID_00009.mp4,compliance,B_LazyQwen,,,0.09142857142857143,2.48,3.86,87.5
Clean,RWL_VID_00009.mp4,compliance,C_UATS,,,0.1671428571428571,2.39,3.54,43.0
Clean,RWL_VID_00009.mp4,compliance,D_FullSystem,,,0.1514285714285714,2.44,3.40,83.9
Clean,RWL_VID_00010.mp4,compliance,A_Baseline,,,0,0.00,0.00,42.2
Clean,RWL_VID_00010.mp4,compliance,B_LazyQwen,,,0.0008130081300813008,0.12,1.63,53.0
Clean,RWL_VID_00010.mp4,compliance,C_UATS,,,0.007317073170731708,0.10,1.18,47.5
Clean,RWL_VID_00010.mp4,compliance,D_FullSystem,,,0.002439024390243902,0.11,1.03,44.5
Clean,RWL_VID_00020.mp4,violation,A_Baseline,0.9294117647058824,0.9634146341463414,0,7.25,0.00,80.1
Clean,RWL_VID_00020.mp4,violation,B_LazyQwen,0.9352941176470588,0.9665653495440729,0,7.03,6.54,69.0
Clean,RWL_VID_00020.mp4,violation,C_UATS,0.9411764705882353,0.9696969696969697,0,6.91,5.94,69.0
Clean,RWL_VID_00020.mp4,violation,D_FullSystem,0.9470588235294117,0.972809667673716,0,6.89,5.61,61.3
Clean,RWL_VID_00021.mp4,violation,A_Baseline,0.8627450980392157,0.9263157894736842,0,4.12,0.00,81.3
Clean,RWL_VID_00021.mp4,violation,B_LazyQwen,0.8686274509803922,0.9287211740041929,0.00196078431372549,3.88,15.45,58.4
Clean,RWL_VID_00021.mp4,violation,C_UATS,0.888235294117647,0.940809968847352,0,3.72,10.91,63.5
Clean,RWL_VID_00021.mp4,violation,D_FullSystem,0.9137254901960784,0.9529652351738241,0.00392156862745098,3.73,9.71,61.1
Clean,RWL_VID_00022.mp4,violation,A_Baseline,0.6739130434782609,0.8051948051948052,0,4.20,0.00,90.2
Clean,RWL_VID_00022.mp4,violation,B_LazyQwen,0.6840579710144927,0.8109965635738832,0.002898550724637681,4.09,1.44,82.6
Clean,RWL_VID_00022.mp4,violation,C_UATS,0.6942028985507246,0.8188034188034188,0.001449275362318841,4.14,1.92,80.1
Clean,RWL_VID_00022.mp4,violation,D_FullSystem,0.7072463768115942,0.8250211327134404,0.007246376811594203,4.24,1.88,74.5
