Condition,Video,Type,Method,Recall,F1,FPR,Oscillation,Qwen_Rate,FPS
Clean,RWL_VID_00007.mp4,compliance,A_Baseline,,,0.0,0.0,0.0,157.6
Clean,RWL_VID_00007.mp4,compliance,D_FullSystem,,,0.0,0.0,0.0,108.0
Clean,RWL_VID_00008.mp4,compliance,A_Baseline,,,0.0,0.0,0.0,34.9
Clean,RWL_VID_00008.mp4,compliance,D_FullSystem,,,0.0,0.0,0.26,34.8
Clean,RWL_VID_00009.mp4,compliance,A_Baseline,,,0.09571428571428571,2.57,0.0,125.1
Clean,RWL_VID_00009.mp4,compliance,D_FullSystem,,,0.15333333333333332,2.86,4.43,101.5
Clean,RWL_VID_00010.mp4,compliance,A_Baseline,,,0.0,0.0,0.0,54.0
Clean,RWL_VID_00010.mp4,compliance,D_FullSystem,,,0.02195121951219512,0.33,1.14,58.3
Clean,RWL_VID_00020.mp4,violation,A_Baseline,0.9294117647058824,0.9634146341463414,0.0,7.25,0.0,98.2
Clean,RWL_VID_00020.mp4,violation,D_FullSystem,0.9294117647058824,0.9634146341463414,0.0,7.25,7.25,81.7
Clean,RWL_VID_00021.mp4,violation,A_Baseline,0.8627450980392157,0.9263157894736842,0.0,4.12,0.0,97.7
Clean,RWL_VID_00021.mp4,violation,D_FullSystem,0.9647058823529412,0.9820359281437125,0.0,2.94,10.0,73.3
Clean,RWL_VID_00022.mp4,violation,A_Baseline,0.6739130434782609,0.8051948051948052,0.0,4.2,0.0,102.8
Clean,RWL_VID_00022.mp4,violation,D_FullSystem,0.6739130434782609,0.8051948051948052,0.0,4.2,1.88,88.0
Light,RWL_VID_00007.mp4,compliance,A_Baseline,,,0.0,0.0,0.0,180.9
Light,RWL_VID_00007.mp4,compliance,D_FullSystem,,,0.0,0.0,0.83,145.5
Light,RWL_VID_00008.mp4,compliance,A_Baseline,,,0.0,0.0,0.0,40.6
Light,RWL_VID_00008.mp4,compliance,D_FullSystem,,,0.0,0.0,1.28,45.9
Light,RWL_VID_00009.mp4,compliance,A_Baseline,,,0.056666666666666664,2.81,0.0,135.4
Light,RWL_VID_00009.mp4,compliance,D_FullSystem,,,0.07142857142857142,2.86,0.67,115.2
Light,RWL_VID_00010.mp4,compliance,A_Baseline,,,0.0,0.0,0.0,52.4
Light,RWL_VID_00010.mp4,compliance,D_FullSystem,,,0.0,0.0,0.49,55.1
Light,RWL_VID_00020.mp4,violation,A_Baseline,0.8352941176470589,0.9102564102564102,0.0,13.53,0.0,99.2
Light,RWL_VID_00020.mp4,violation,D_FullSystem,0.8352941176470589,0.9102564102564102,0.0,13.53,5.69,81.7
Light,RWL_VID_00021.mp4,violation,A_Baseline,0.8274509803921568,0.9055793991416309,0.0,11.57,0.0,98.1
Light,RWL_VID_00021.mp4,violation,D_FullSystem,0.8294117647058824,0.9067524115755627,0.0,11.18,10.98,74.8
Light,RWL_VID_00022.mp4,violation,A_Baseline,0.1826086956521739,0.3088235294117647,0.0,2.32,0.0,109.3
Light,RWL_VID_00022.mp4,violation,D_FullSystem,0.1826086956521739,0.3088235294117647,0.0,2.32,0.43,102.9
Medium,RWL_VID_00007.mp4,compliance,A_Baseline,,,0.0,0.0,0.0,146.5
Medium,RWL_VID_00007.mp4,compliance,D_FullSystem,,,0.0,0.0,0.83,128.0
Medium,RWL_VID_00008.mp4,compliance,A_Baseline,,,0.0,0.0,0.0,39.4
Medium,RWL_VID_00008.mp4,compliance,D_FullSystem,,,0.0,0.0,2.31,45.9
Medium,RWL_VID_00009.mp4,compliance,A_Baseline,,,0.02238095238095238,1.29,0.0,137.8
Medium,RWL_VID_00009.mp4,compliance,D_FullSystem,,,0.02619047619047619,1.48,0.67,125.2
Medium,RWL_VID_00010.mp4,compliance,A_Baseline,,,0.0,0.0,0.0,60.1
Medium,RWL_VID_00010.mp4,compliance,D_FullSystem,,,0.0,0.0,0.65,59.5
Medium,RWL_VID_00020.mp4,violation,A_Baseline,0.7411764705882353,0.8513513513513513,0.0,17.84,0.0,101.3
Medium,RWL_VID_00020.mp4,violation,D_FullSystem,0.7411764705882353,0.8513513513513513,0.0,17.84,5.29,82.2
Medium,RWL_VID_00021.mp4,violation,A_Baseline,0.7333333333333333,0.8461538461538461,0.0,13.14,0.0,99.4
Medium,RWL_VID_00021.mp4,violation,D_FullSystem,0.8019607843137255,0.8900979325353645,0.0,14.71,12.55,77.0
Medium,RWL_VID_00022.mp4,violation,A_Baseline,0.12318840579710146,0.21935483870967742,0.0,3.19,0.0,107.8
Medium,RWL_VID_00022.mp4,violation,D_FullSystem,0.12318840579710146,0.21935483870967742,0.0,3.19,0.0,107.4
Heavy,RWL_VID_00007.mp4,compliance,A_Baseline,,,0.0,0.0,0.0,139.0
Heavy,RWL_VID_00007.mp4,compliance,D_FullSystem,,,0.0,0.0,5.0,125.7
Heavy,RWL_VID_00008.mp4,compliance,A_Baseline,,,0.0,0.0,0.0,36.5
Heavy,RWL_VID_00008.mp4,compliance,D_FullSystem,,,0.0,0.0,2.56,39.6
Heavy,RWL_VID_00009.mp4,compliance,A_Baseline,,,0.004761904761904762,0.48,0.0,122.0
Heavy,RWL_VID_00009.mp4,compliance,D_FullSystem,,,0.005714285714285714,0.48,0.76,115.4
Heavy,RWL_VID_00010.mp4,compliance,A_Baseline,,,0.004878048780487805,0.16,0.0,42.9
Heavy,RWL_VID_00010.mp4,compliance,D_FullSystem,,,0.0,0.0,1.79,56.3
Heavy,RWL_VID_00020.mp4,violation,A_Baseline,0.6078431372549019,0.7560975609756098,0.0,15.88,0.0,89.5
